Domain,MBFC,MBFC factual,BF,FC,PF,WI,Site Rank,Yr online,Name,Media Bias/Fact Check page,Wikipedia article,HTTP,URL,lang,hflag,iffy,Lists
conservapedia.com,FN,M,,,,,117145,,Conservapedia,https://mediabiasfactcheck.com/conservapedia/,https://en.wikipedia.org/wiki/Conservapedia,200,https://www.conservapedia.com/,en,,,1
conservativeammo.com,FN,L,,,,,2874905,2016,Conservative Ammo,https://mediabiasfactcheck.com/conservative-ammo/,,200,https://conservativeammo.com/,en,,1,1
conservativeangle.com,,,,1,,,1014393,,Conservative Angle,,,200,http://conservativeangle.com/,en,,,1
conservativebeaver.com,FN,VL,,,,,20000000,2020,Conservative Beaver,https://mediabiasfactcheck.com/conservative-beaver/,,200,https://www.conservativebeaver.com/,en,,1,1
conservativedailypost.com,FN,L,,,fake-news,,52389,2016,Conservative Daily Post,https://mediabiasfactcheck.com/conservative-daily-post/,,200,https://conservativedailypost.com/,en,,1,2
conservativefiringline.com,FN,M,,,,,264618,2012,Conservative Firing Line,https://mediabiasfactcheck.com/conservative-firing-line/,,200,https://conservativefiringline.com/,en,,,1
conservativefreepress.com,FN,L,,,,,498141,2015,Conservative Free Press,https://mediabiasfactcheck.com/conservative-free-press/,,200,http://www.conservativefreepress.com/,en,,1,1
conservativefrontline.com,,,,,,1,6013622,2013,Conservative Frontline,,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,https://conservativefrontline.com/,en,,,1
conservativepapers.com,FN,M,,,,,3996576,,The Conservative Papers,https://mediabiasfactcheck.com/the-conservative-papers/,,200,https://conservativepapers.com/,en,,,1
conservativepost.com,FN,L,,1,,,775568,2013,Conservative Post,https://mediabiasfactcheck.com/conservative-post/,,200,https://conservativepost.com/,en,,1,2
conspiracydailyupdate.com,CP,L,,,,,376327,2016,Conspiracy Daily Update,https://mediabiasfactcheck.com/conspiracy-daily-update/,,200,https://conspiracydailyupdate.com/,en,,1,1
